ticker,revenue_ttm,ebitda_ttm,fcf_ttm,net_debt,price,shares_outstanding,float_cap,cap_flag,fetch_error
MO,20444000000.0,11805000000.0,9112000000.0,22210000000.0,68.98,1669743926.0,114952035827.28552,,
AMZN,742776000000.0,188438000000.0,-2472000000.0,17258000000.0,256.78,10786313572.0,2519161517466.92,,
AMCR,23506000000.0,3437000000.0,1229000000.0,12897000000.0,42.32,462345690.0,19457267271.80338,,
AEE,8878000000.0,4171000000.0,-1345000000.0,21291000000.0,104.9,276843251.0,28858482500.373688,,
AEP,22790700000.0,9307800000.0,-2437000000.0,52461000000.0,123.33,544397352.0,67031091072.81123,,
AXP,75952000000.0,,15052000000.0,13883000000.0,324.69,675309833.0,169560861986.12125,,
AIG,26661000000.0,,3850000000.0,7637000000.0,75.33,522893169.0,39274920882.83076,,
AMT,10941500000.0,7407000000.0,3959800000.0,35427100000.0,177.85,465960048.0,82603327746.48962,,
AWK,5284000000.0,3024000000.0,-1223000000.0,15797000000.0,137.69,198728989.0,27307175730.643677,,
AMP,19503000000.0,,8064000000.0,-3716000000.0,557.61,88333219.0,49045160352.30407,,
AME,7863923000.0,2423871000.0,1824950000.0,1540728000.0,241.87,229261244.0,55105956177.16,,
AMGN,38095000000.0,17622000000.0,10175000000.0,43315000000.0,377.35,540632005.0,203452589184.68802,,
APH,25903800000.0,7954600000.0,4631700000.0,14620900000.0,83.92,2465966914.0,205596723313.91974,,
ADI,13881744000.0,7025615000.0,4937495000.0,6955713000.0,378.78,484565465.0,182859091728.6999,,
AON,17577000000.0,6732000000.0,3248000000.0,13905000000.0,302.69,212125434.0,63356205221.43305,,
APA,8806000000.0,5525000000.0,2102000000.0,3299000000.0,44.73,350351510.0,15571554298.106468,,
APO,35897000000.0,9520000000.0,9473000000.0,-13088000000.0,128.98,590543159.0,59976409315.49069,,
AAPL,466823000000.0,167959000000.0,136683000000.0,44800000000.0,332.27,14594180000.0,4840867231771.655,,
AMAT,30837000000.0,11631000000.0,5623000000.0,154000000.0,456.49,793597443.0,360889032375.72437,,
APP,6829124000.0,5550334000.0,4499271000.0,461766000.0,323.96,305732000.0,90213528408.46768,,
APTV,18725000000.0,2086000000.0,684000000.0,4593000000.0,45.54,207633331.0,9337710519.359257,,
ACGL,18595000000.0,,6055000000.0,3177000000.0,96.09,341229126.0,31445657618.944424,,
ADM,82099000000.0,3876000000.0,1677000000.0,6951000000.0,86.72,481959583.0,41438183062.74245,,
ARES,5987595000.0,2292811000.0,836147000.0,12207654000.0,131.64,223957742.0,42482431810.45214,,
ANET,10540800000.0,4639600000.0,5155300000.0,,199.59,1261224648.0,209462735104.62354,,
AJG,15754800000.0,3966700000.0,2285000000.0,12223000000.0,240.32,256341000.0,60931263944.73137,,
AIZ,13456200000.0,,1655600000.0,509400000.0,282.46,49323767.0,13827361925.743017,,
T,127239000000.0,53702000000.0,17654000000.0,126384000000.0,26.06,6852385650.0,178192803714.84433,,
ATO,4921526000.0,2673591000.0,-2020303000.0,9802914000.0,163.19,168988553.0,27448457845.506042,,
ADSK,7790000000.0,2376000000.0,2804000000.0,234000000.0,212.4,209000000.0,44271298891.65312,,
ADP,21947500000.0,6775400000.0,4776100000.0,734000000.0,268.26,397262737.0,106315009989.52577,,
AZO,19986404000.0,4274993000.0,1633222000.0,8762748000.0,2876.75,,,no-market-cap,
AVY,9248100000.0,1450400000.0,1033000000.0,3450900000.0,169.38,75788142.0,12740718636.289701,,
AXON,3219099000.0,406221000.0,133192000.0,1134113000.0,479.34,81237415.0,37056410527.80352,,
BKR,27725000000.0,5080000000.0,3128000000.0,526000000.0,59.06,992674071.0,58507144012.27978,,
BALL,14326000000.0,2128000000.0,827000000.0,6729000000.0,59.9,264703357.0,15793260142.626862,,
BAC,116983000000.0,,56567000000.0,133729000000.0,62.69,6992748365.0,436652567789.32007,,
BAX,11470000000.0,762000000.0,812000000.0,7309000000.0,23.8,516995999.0,12243843629.724907,,
BDX,20840000000.0,4411000000.0,2534000000.0,16100000000.0,177.85,272386800.0,48315621616.3058,,
BRK-B,420276000000.0,,21239000000.0,87990000000.0,510.37,1408035161.0,1092553998336.0,float-cap-fallback-market-cap,
BBY,42201000000.0,2580000000.0,1768000000.0,242000000.0,90.8,209727698.0,17858402230.486607,,
TECH,1215039000.0,347669000.0,263223000.0,87121000.0,72.12,156818238.0,11262909514.506077,,
BIIB,10027900000.0,2139100000.0,2490000000.0,6805300000.0,217.15,147753998.0,31968634251.237114,,
BLK,27299000000.0,11188000000.0,3515000000.0,2252000000.0,1079.65,154869259.0,162894376336.65482,,
BX,13613047000.0,,5486239000.0,10687657000.0,128.51,750625114.0,152925400953.90448,,
XYZ,25041964000.0,2840428000.0,3881840000.0,-4786297000.0,79.21,540816000.0,47154549198.476074,,
BNY,20408000000.0,,1455000000.0,-153281000000.0,162.66,678504142.0,110087362062.0389,,
BA,92184000000.0,7324000000.0,-1050000000.0,37768000000.0,210.45,790370020.0,159618488214.0217,,
BKNG,28241000000.0,11109000000.0,9539000000.0,2966000000.0,173.92,751380500.0,130257998016.66321,,
BSX,20996000000.0,5637000000.0,1806000000.0,11961000000.0,42.98,1449229526.0,62105380766.02667,,
BMY,49187000000.0,16816000000.0,11440000000.0,34398000000.0,63.64,2042714656.0,129796859009.43315,,
AVGO,89104000000.0,52349000000.0,39403000000.0,35444000000.0,361.99,4773629865.0,1706700006331.5486,,
BR,7476800000.0,1898900000.0,1233000000.0,2851700000.0,167.74,114021798.0,19036125838.75805,,
BRO,6664000000.0,2468000000.0,1446000000.0,6841000000.0,66.19,334610357.0,19033428365.867096,,
BF-B,3915000000.0,1090000000.0,925000000.0,2141000000.0,26.22,290383416.0,12031420416.0,float-cap-fallback-market-cap,
BLDR,14448703000.0,1032812000.0,639317000.0,4525663000.0,60.37,107596457.0,6305991546.679137,,
BG,91819000000.0,3117000000.0,-711000000.0,14666000000.0,122.41,192119123.0,19308881458.25185,,
BXP,3516454000.0,1979044000.0,1284500000.0,15124614000.0,64.7,159661556.0,11597677760.965506,,
CHRW,16198957000.0,895822000.0,807110000.0,1183062000.0,152.78,116851258.0,17784695118.270313,,
CDNS,5837623000.0,2276611000.0,1671720000.0,1041757000.0,289.37,275393000.0,79332654966.46371,,
CPT,1571752000.0,1156484000.0,370482000.0,4209824000.0,103.01,115732578.0,10363319864.923939,,
COF,61938000000.0,,29701000000.0,1730000000.0,208.3,613484836.0,126001133606.00533,,
CAH,254248000000.0,3478000000.0,4525000000.0,4030000000.0,234.57,232575728.0,54429268908.267296,,
CCL,27311000000.0,7167000000.0,3200000000.0,22646000000.0,22.75,1369649119.0,28906372491.75871,,
CARR,22108000000.0,3080000000.0,1928000000.0,10608000000.0,57.46,824325057.0,45054270964.269936,,
CVNA,25058000000.0,142000000.0,929000000.0,2606000000.0,69.16,719916415.0,75215525324.96532,,
CASY,18672331000.0,1554428000.0,648926000.0,1906464000.0,615.47,36960167.0,22586818326.32071,,
CAT,74729000000.0,16830000000.0,8994000000.0,38433000000.0,818.57,459674889.0,375087025481.2445,,
CBOE,5061300000.0,2064900000.0,1874500000.0,185700000.0,281.04,104431019.0,29238353819.149094,,
CBRE,43640000000.0,2197000000.0,938000000.0,6604000000.0,140.51,289575298.0,40405032191.8413,,
CDW,23500400000.0,1977000000.0,860200000.0,5455200000.0,153.79,125017426.0,19151446359.247707,,
COR,332771323000.0,5186821000.0,4060102000.0,8907950000.0,321.57,190827165.0,57962257201.91725,,
CNC,202938000000.0,-2731000000.0,8951000000.0,525000000.0,66.42,493995000.0,30798511510.75224,,
CNP,9620000000.0,3997000000.0,-2695000000.0,24593000000.0,39.11,658720288.0,25666455436.654728,,
CF,7739000000.0,4153000000.0,1904000000.0,736000000.0,133.07,151338130.0,19997998463.50316,,
CRL,3998987000.0,220471000.0,370605000.0,2427960000.0,278.26,48167730.0,13140618807.667599,,
SCHW,26025000000.0,,10789000000.0,5439000000.0,107.25,1729335714.0,174367090540.5562,,
CHTR,54396000000.0,21354000000.0,4358000000.0,96201000000.0,145.77,119277492.0,18980694998.1663,,
CVX,208711000000.0,55951000000.0,27012000000.0,28548000000.0,214.06,1961603274.0,399963926693.69244,,
CMG,12423759000.0,2296607000.0,1568985000.0,5190997000.0,36.2,1265418000.0,45442583188.84192,,
CB,62277000000.0,,15376000000.0,15605000000.0,338.25,385799859.0,118346249176.95517,,
CHD,6205400000.0,1292700000.0,1066700000.0,1702300000.0,94.15,237203907.0,22263516268.410954,,
CIEN,6020894000.0,971833000.0,814362000.0,784135000.0,349.54,141808525.0,49331313896.686104,,
CI,281336000000.0,12785000000.0,9113000000.0,25580000000.0,280.76,264240486.0,73825380910.00601,,
CINF,12928000000.0,,3439000000.0,-326000000.0,169.8,153478045.0,25567506571.061478,,
CTAS,11264761000.0,3124465000.0,1881175000.0,2139055000.0,201.5,400169561.0,68938181294.05978,,
CSCO,63325000000.0,20019000000.0,12767000000.0,22315000000.0,112.13,3942586873.0,441370510581.4275,,
C,91193000000.0,,-24511000000.0,36314000000.0,138.82,1677436783.0,232188823760.50586,,
CFG,8726000000.0,,2353000000.0,2482000000.0,70.48,421176788.0,29392742385.384098,,
CLX,6720000000.0,1168000000.0,405000000.0,4925000000.0,87.76,120931005.0,10577352737.259579,,
CME,6772600000.0,6101400000.0,4212700000.0,1280000000.0,275.54,359576125.0,97726903374.60005,,
CMS,8813000000.0,3314000000.0,-2103000000.0,18801000000.0,67.15,313577136.0,20915416030.9513,,
KO,50129000000.0,19831000000.0,14297000000.0,30636000000.0,88.29,4302549243.0,342036794865.4112,,
CTSH,21642000000.0,4102000000.0,2598000000.0,522000000.0,60.0,450444209.0,26948546142.13884,,
COHR,7118181000.0,1559895000.0,-1030569000.0,2060206000.0,305.37,195832246.0,59569259738.78723,,
COIN,6282872000.0,-901225000.0,1713665000.0,-1945775000.0,175.26,222803032.0,45602012121.47298,,
CL,21046000000.0,3839000000.0,3858000000.0,6487000000.0,86.8,797172829.0,64957126965.88837,,
CMCSA,124905000000.0,34134000000.0,17817000000.0,82720000000.0,25.2,3539192198.0,88718324846.52742,,
FIX,11228024000.0,2000175000.0,2159806000.0,-1526761000.0,1690.82,35194329.0,59507273728.0,float-cap-fallback-market-cap,
COP,63345000000.0,27787000000.0,10064000000.0,16716000000.0,137.35,1201337479.0,164648948341.6012,,
ED,17688000000.0,6476000000.0,-862000000.0,26344000000.0,106.46,369828633.0,39316048009.844154,,
STZ,9056700000.0,3286200000.0,1834200000.0,10437200000.0,122.45,170752511.0,19329845797.576897,,
CEG,31270000000.0,8229000000.0,309000000.0,24003000000.0,284.75,354307379.0,100559119479.97551,,
COO,4236900000.0,935600000.0,678000000.0,2387300000.0,53.91,190155294.0,10180025866.077404,,
CPRT,4638867000.0,1919218000.0,1339233000.0,-3261026000.0,29.95,925811482.0,25353654418.537605,,
GLW,16964000000.0,4199000000.0,2395000000.0,5920000000.0,166.4,861388331.0,131551442814.84326,,
CPAY,5020502000.0,2551576000.0,1638406000.0,7459992000.0,408.22,65659599.0,25755543333.404205,,
CTVA,17889000000.0,3146000000.0,2046000000.0,1392000000.0,83.9,667196000.0,55831644476.89648,,
CSGP,3555500000.0,394000000.0,227000000.0,-64000000.0,30.46,405197588.0,12237408391.48908,,
COST,293587000000.0,14463000000.0,8806000000.0,-10810000000.0,904.77,443478804.0,398939819640.2493,,
CRH,38632000000.0,8261000000.0,2766000000.0,14901000000.0,88.55,665284511.0,58747168762.24683,,
CRWD,5396145000.0,436857000.0,1522603000.0,-4193668000.0,206.74,1023934842.0,208047253781.929,,
CCI,4161000000.0,2684000000.0,2406000000.0,17197000000.0,75.62,437000000.0,32097012363.24775,,
CSX,14512000000.0,6702000000.0,2796000000.0,17857000000.0,48.95,1852474917.0,90489283844.51505,,
CMI,34708000000.0,5289000000.0,3367000000.0,4516000000.0,556.75,137664487.0,76320488877.16986,,
CVS,415086000000.0,13411000000.0,11758000000.0,50081000000.0,94.66,1278970369.0,120830047782.77293,,
DHR,25107000000.0,7585000000.0,5466000000.0,22210000000.0,200.14,702986054.0,125261322903.75333,,
DRI,13210900000.0,2146000000.0,1087900000.0,2147800000.0,209.89,113541756.0,23831279616.0,float-cap-fallback-market-cap,
DDOG,3966725000.0,281700000.0,1072769000.0,550588000.0,221.21,334904614.0,78965392659.111,,
DVA,14009646000.0,2771832000.0,1609804000.0,10112050000.0,181.55,63800000.0,6162097471.488,,
DECK,5527289000.0,1390224000.0,1117808000.0,-1130255000.0,81.27,136181857.0,10961993954.286266,,
DE,46882000000.0,11687000000.0,3229000000.0,54865000000.0,675.74,269625412.0,181828629326.4445,,
DELL,151197000000.0,18411000000.0,8560000000.0,22897000000.0,567.29,315433188.0,333898753678.03534,,
DAL,68287000000.0,5709000000.0,3410000000.0,9287000000.0,79.91,657623030.0,51920713139.273,,
DVN,19676000000.0,8804000000.0,1477000000.0,10379000000.0,50.23,1100000000.0,54794400290.4064,,
DXCM,4969200000.0,1559100000.0,1405000000.0,137800000.0,83.03,377360765.0,31217901155.384117,,
FANG,16982000000.0,7378000000.0,3682000000.0,12152000000.0,204.97,280019792.0,41850149337.604546,,
DLR,6340228000.0,3819492000.0,2545472000.0,15570002000.0,188.58,370998727.0,67263793206.87388,,
DG,43637998000.0,3516317000.0,2010656000.0,2981225000.0,124.58,220616790.0,27238452836.87329,,
DLTR,20068700000.0,2912500000.0,1977100000.0,1875400000.0,118.17,187630299.0,20970757174.153458,,
D,18119000000.0,8710000000.0,-6342000000.0,53128000000.0,64.36,879525949.0,56493077333.59528,,
DPZ,5027815000.0,1052394000.0,653470000.0,4718808000.0,311.6,33081735.0,9418665352.490997,,
DASH,15891000000.0,1763000000.0,2139000000.0,-1119000000.0,201.95,409082893.0,81753536655.2103,,
DOV,8420564000.0,1919336000.0,1171676000.0,1504017000.0,189.05,134680225.0,25277466629.004288,,
DOW,41319000000.0,2651000000.0,1599000000.0,13189000000.0,29.03,722340711.0,20918805542.55336,,
DHI,33349900000.0,3922600000.0,3202200000.0,5033600000.0,137.89,279701267.0,34553851257.49581,,
DTE,16515000000.0,4316000000.0,-1490000000.0,26462000000.0,132.58,208088069.0,27437131118.42507,,
DUK,33250000000.0,17710000000.0,-4274000000.0,90565000000.0,119.42,779702193.0,92846664015.01297,,
DD,4701000000.0,934000000.0,647000000.0,1385000000.0,126.99,135042975.0,17077766885.602242,,
ETN,30025000000.0,6449000000.0,3934000000.0,20128000000.0,425.37,388400000.0,164922923983.83105,,
EBAY,12008000000.0,3198000000.0,2428000000.0,4425000000.0,107.75,445000000.0,43079555199.3856,,
ECHO,14653925000.0,-5612481000.0,-827707000.0,16991715000.0,93.14,159142240.0,23369082540.526207,,
ECL,16842500000.0,3983500000.0,1874500000.0,8040900000.0,276.18,280328603.0,77266307964.47708,,
EIX,19423000000.0,10123000000.0,-389000000.0,42161000000.0,56.0,384813979.0,21486442057.42984,,
EW,6512300000.0,1652200000.0,1433600000.0,-2202100000.0,84.37,576400000.0,48470388144.947205,,
ELV,201113000000.0,,6289000000.0,20812000000.0,418.72,216869290.0,90597743671.30981,,
EME,18597775000.0,2155526000.0,1171382000.0,-382483000.0,780.66,44109901.0,34170719205.590004,,
EMR,18636000000.0,5342000000.0,3460000000.0,10933000000.0,152.19,557800000.0,84557109629.09184,,
ETR,13287438000.0,6243253000.0,-3150947000.0,30487390000.0,105.33,477777482.0,48925189003.45293,,
EOG,26637000000.0,13905000000.0,6614000000.0,3019000000.0,147.36,524529176.0,77030277119.15717,,
EQT,9478998000.0,6933063000.0,3758333000.0,5542851000.0,54.07,625516000.0,33475317229.68224,,
EFX,6444500000.0,1910100000.0,1105000000.0,5297000000.0,169.0,117484896.0,19769969233.02816,,
EQIX,9805000000.0,4459000000.0,-1464000000.0,18730000000.0,1037.72,98671686.0,101999362189.4971,,
ERIE,4185570000.0,,553083000.0,,245.03,46189068.0,6973092012.56801,,
ESS,1926734000.0,1314137000.0,990799000.0,6640173000.0,272.91,64268439.0,18603092460.703026,,
EL,15049000000.0,1647000000.0,1316000000.0,3808000000.0,97.12,247291223.0,34997774877.49317,,
EG,16435000000.0,,2000000000.0,2472000000.0,371.71,38342734.0,9660974413.30255,,
EVRG,6093900000.0,2863800000.0,-1405800000.0,16476200000.0,81.62,230567172.0,18709367857.132004,,
ES,13933344000.0,5634717000.0,236707000.0,30069511000.0,68.52,376674754.0,25769230778.185722,,
EXC,25326000000.0,9336000000.0,-1916000000.0,50860000000.0,43.16,1030253967.0,44465762304.0,float-cap-fallback-market-cap,
EXE,13665000000.0,6685000000.0,2477000000.0,3022000000.0,94.83,231503789.0,21842201028.16651,,
EXPE,15700000000.0,3693000000.0,4459000000.0,748000000.0,280.83,114498625.0,33426987844.3459,,
EXPD,12036002000.0,1238286000.0,923864000.0,-464163000.0,192.6,129990622.0,24851679054.344563,,
EXR,3413572000.0,2395280000.0,1838919000.0,13031539000.0,137.64,211269558.0,30030891315.3501,,
XOM,361060000000.0,75779000000.0,30553000000.0,31780000000.0,165.99,4111911960.0,681218976881.031,,
FFIV,3309332000.0,923304000.0,969595000.0,-1353402000.0,411.71,56627182.0,23092028186.07873,,
FDS,2438459000.0,955994000.0,708307000.0,1101587000.0,259.71,35565543.0,9204767651.874317,,
FICO,2393575000.0,1267566000.0,960878000.0,5333945000.0,985.39,21597635.0,20590852837.122166,,
FAST,8749300000.0,1959700000.0,1155800000.0,236800000.0,49.32,1147497573.0,56463280049.87892,,
FRT,1335088000.0,1033897000.0,329221000.0,4660666000.0,114.36,86889133.0,9219881233.609379,,
FDX,94720000000.0,11132000000.0,5116000000.0,12403000000.0,311.99,236670435.0,68194684686.66138,,
FDXF,,,,1490000000.0,128.31,149518133.0,15322604702.80805,,
FERG,32889000000.0,3570000000.0,1265000000.0,4467000000.0,222.54,193452717.0,42952380263.5967,,
FIS,12201000000.0,4200000000.0,1921000000.0,20430000000.0,38.14,515705917.0,19623980640.80553,,
FITB,10492000000.0,,2896000000.0,17327000000.0,54.72,906892564.0,49407803543.17847,,
FSLR,5378071000.0,2440196000.0,1500119000.0,-1494269000.0,209.03,107469788.0,21249084942.563126,,
FE,15825000000.0,,-1964000000.0,28920000000.0,46.13,578639932.0,25291563460.507748,,
FISV,20866000000.0,8114000000.0,3926000000.0,25317000000.0,51.58,531766721.0,27428528128.0,float-cap-fallback-market-cap,
FLEX,27914000000.0,1921000000.0,1052000000.0,1362000000.0,115.78,369402978.0,42446568131.90434,,
F,187973000000.0,3512000000.0,7280000000.0,142364000000.0,13.97,3916743591.0,55133224644.653595,,
FTNT,7527400000.0,2799500000.0,3117000000.0,-2438000000.0,156.07,733713653.0,96593211274.34624,,
FTV,4315800000.0,1240200000.0,1051300000.0,3135100000.0,54.69,302017052.0,15365395148.705511,,
FOXA,17126000000.0,3089000000.0,1468000000.0,2401000000.0,65.94,200188712.0,27723646976.0,float-cap-fallback-market-cap,
FOX,17126000000.0,3089000000.0,1468000000.0,2401000000.0,58.45,220248764.0,24574570496.0,float-cap-fallback-market-cap,
BEN,9324100000.0,1958700000.0,231600000.0,11974500000.0,33.65,508076910.0,9755769137.37183,,
FCX,25868000000.0,9227000000.0,1762000000.0,5306000000.0,71.07,1436017523.0,101370914067.2585,,
GRMN,7671437000.0,2311467000.0,1599841000.0,-2156278000.0,282.67,192852536.0,46499037123.81302,,
IT,6463626000.0,1363153000.0,1288944000.0,1490575000.0,179.59,63148976.0,10276351444.858496,,
GE,50638000000.0,12685000000.0,8396000000.0,9812000000.0,323.66,1037562513.0,334541367500.7764,,
GEHC,21267000000.0,3696000000.0,1579000000.0,8014000000.0,63.93,451686252.0,28781010514.739388,,
GEV,41367000000.0,3005000000.0,12438000000.0,-10326000000.0,957.27,266333581.0,254420308774.54395,,
GEN,5079000000.0,2564000000.0,1548000000.0,7623000000.0,30.26,598587032.0,13721868471.26046,,
GNRC,4438732000.0,619424000.0,379249000.0,974042000.0,186.99,59006361.0,10834995293.121025,,
GD,54861000000.0,6731000000.0,6447000000.0,3183000000.0,355.9,270557195.0,90557456734.06224,,
GIS,18424600000.0,477100000.0,1626300000.0,13084200000.0,35.85,534629472.0,19166466048.0,float-cap-fallback-market-cap,
GM,185527000000.0,17516000000.0,605000000.0,107563000000.0,85.62,904451541.0,74902017640.95284,,
GPC,25071538000.0,742343000.0,759354000.0,4420004000.0,133.68,137859758.0,18376384625.023,,
GILD,30456000000.0,1803000000.0,12943000000.0,23067000000.0,143.72,1239955155.0,177823215819.06787,,
GPN,10230917000.0,3816606000.0,822719000.0,18146128000.0,88.29,264618390.0,19390486630.10248,,
GL,6191958000.0,,1232375000.0,2686195000.0,171.17,76849447.0,13031985179.968605,,
GDDY,5104100000.0,1403200000.0,1702900000.0,2618900000.0,98.07,126647704.0,12323834655.145325,,
GS,66203000000.0,,-41515000000.0,285689000000.0,1029.18,291171408.0,299667783680.0,float-cap-fallback-market-cap,
HAL,22373000000.0,3592000000.0,1725000000.0,5113000000.0,35.84,833130367.0,29697555608.309654,,
HIG,28626000000.0,,5789000000.0,4249000000.0,136.36,270872002.0,36760290082.63351,,
HAS,4973200000.0,1354800000.0,1086400000.0,2657700000.0,91.54,141044467.0,12852077120.700365,,
HCA,78013000000.0,15861000000.0,5997000000.0,48705000000.0,426.94,216501500.0,61615940531.090805,,
DOC,2949806000.0,1886442000.0,1231026000.0,8405359000.0,20.3,689527260.0,14332479206.437649,,
HSIC,13602000000.0,1027000000.0,513000000.0,3305000000.0,88.36,111446542.0,8103537796.069961,,
HSY,12163912000.0,2679242000.0,2228157000.0,4743926000.0,173.32,146312143.0,34449004115.897575,,
HPE,41871000000.0,6774000000.0,4156000000.0,14028000000.0,62.09,1327464779.0,82025017044.8239,,
HLT,12485000000.0,3092000000.0,1939000000.0,12334000000.0,306.19,225064910.0,67592261665.71004,,
HD,169176000000.0,25474000000.0,15099000000.0,50811000000.0,308.74,997689626.0,307499945576.8266,,
HONA,17237000000.0,3805000000.0,877000000.0,14792000000.0,158.26,316952725.0,50098739503.61062,,
HON,36130000000.0,12967000000.0,4010000000.0,25237000000.0,202.36,316940010.0,60235870126.162636,,
HRL,12146911000.0,872412000.0,780869000.0,2015484000.0,20.57,550350800.0,5982205561.9364395,,
HST,6219000000.0,2117000000.0,1017000000.0,3129000000.0,22.24,685124399.0,15205049771.79536,,
HWM,9117000000.0,2753000000.0,1791000000.0,3938000000.0,229.61,398801399.0,90745588018.82478,,
HPQ,59162000000.0,4205000000.0,3881000000.0,4991000000.0,35.48,901790969.0,31876840102.984325,,
HUBB,6223600000.0,1468300000.0,901400000.0,4994000000.0,460.4,52832571.0,24205414766.936993,,
HUM,145679000000.0,,1949000000.0,7354000000.0,409.8,120080308.0,49098185564.30341,,
HBAN,9683000000.0,,2683000000.0,5805000000.0,16.86,2020414826.0,33841756383.69681,,
HII,13185000000.0,1264000000.0,-85000000.0,2690000000.0,279.69,39404598.0,10940287840.452442,,
IBM,69097000000.0,17570000000.0,13144000000.0,54815000000.0,243.29,942134390.0,228739688607.81952,,
IEX,3585300000.0,957800000.0,641500000.0,1237600000.0,224.21,73719896.0,16480970362.280886,,
IDXX,4553223000.0,1616289000.0,1237090000.0,771931000.0,504.7,78781116.0,39618884089.34888,,
ITW,16469000000.0,4822000000.0,2921000000.0,8855000000.0,268.16,284800000.0,69113576161.28,,
INCY,5819530000.0,2067971000.0,1890466000.0,-3944108000.0,121.47,202697746.0,20739346062.294163,,
IR,7942200000.0,2003200000.0,1219300000.0,3582900000.0,72.93,387999429.0,28206248466.336704,,
PODD,3053500000.0,652700000.0,265600000.0,413500000.0,131.96,69354199.0,9113633757.899809,,
INTC,57032000000.0,3676000000.0,2831000000.0,37663000000.0,102.94,5286105262.0,475531009212.8372,,
IBKR,11085000000.0,9921000000.0,15834000000.0,-7698000000.0,91.37,453077771.0,150898468318.30942,,
ICE,13426000000.0,7684000000.0,4641000000.0,18779000000.0,157.4,561394487.0,87755550518.7695,,
IFF,9978000000.0,1486000000.0,536000000.0,5130000000.0,83.61,255149963.0,21274422296.59368,,
IP,24203000000.0,168000000.0,492000000.0,8491000000.0,34.36,529569895.0,18113411322.64267,,
INTU,21448000000.0,7119000000.0,8617000000.0,2964000000.0,321.57,267236000.0,83888965234.36575,,
ISRG,11034400000.0,4245400000.0,3222600000.0,,369.15,358278038.0,129650981194.57054,,
IVZ,6902500000.0,1760800000.0,1920700000.0,7655200000.0,32.28,441499780.0,11508746872.672464,,
INVH,2855078000.0,1799708000.0,956722000.0,8450905000.0,27.54,590623226.0,14783952751.108044,,
IQV,16983000000.0,3528000000.0,2184000000.0,14090000000.0,261.77,164600000.0,40901518786.1504,,
IRM,7562471000.0,2515305000.0,-596682000.0,17144856000.0,115.18,297702812.0,33967432534.260323,,
JBHT,12701310000.0,1678212000.0,1099722000.0,1141175000.0,270.45,93914939.0,19805355093.681614,,
JBL,33590000000.0,2025000000.0,1306000000.0,2018000000.0,318.08,104787089.0,32693726585.27656,,
JKHY,2544340000.0,871419000.0,506506000.0,27944000.0,161.12,70112608.0,11218596574.458624,,
J,14219216000.0,904246000.0,644544000.0,2406462000.0,141.85,117038611.0,16494347216.901468,,
JNJ,97929000000.0,33959000000.0,22228000000.0,28614000000.0,265.58,2409898597.0,638984006614.008,,
JCI,24995000000.0,3702000000.0,1659000000.0,8834000000.0,146.01,605741470.0,88158630293.95424,,
JPM,194911000000.0,,-162534000000.0,223142000000.0,356.23,2658186195.0,941869148532.1819,,
